2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,National Employment Matrix link,
"Total, all occupations",'00-0000,Summary,Projections for 00-0000,
  Management occupations,'11-0000,Summary,Projections for 11-0000,
    Top executives,'11-1000,Summary,Projections for 11-1000,
      Chief executives,'11-1011,Line item,Projections for 11-1011,
      General and operations managers,'11-1021,Line item,Projections for 11-1021,
      Legislators,'11-1031,Line item,Projections for 11-1031,
"    Advertising, marketing, promotions, public relations, and sales managers",'11-2000,Summary,Projections for 11-2000,
      Advertising and promotions managers,'11-2011,Line item,Projections for 11-2011,
      Marketing and sales managers,'11-2020,Summary,Projections for 11-2020,
        Marketing managers,'11-2021,Line item,Projections for 11-2021,
        Sales managers,'11-2022,Line item,Projections for 11-2022,
      Public relations and fundraising managers,'11-2030,Summary,Projections for 11-2030,
        Public relations managers,'11-2032,Line item,Projections for 11-2032,
        Fundraising managers,'11-2033,Line item,Projections for 11-2033,
    Operations specialties managers,'11-3000,Summary,Projections for 11-3000,
      Administrative services and facilities managers,'11-3010,Summary,Projections for 11-3010,
        Administrative services managers,'11-3012,Line item,Projections for 11-3012,
        Facilities managers,'11-3013,Line item,Projections for 11-3013,
      Computer and information systems managers,'11-3021,Line item,Projections for 11-3021,
      Financial managers,'11-3031,Line item,Projections for 11-3031,
      Industrial production managers,'11-3051,Line item,Projections for 11-3051,
      Purchasing managers,'11-3061,Line item,Projections for 11-3061,
"      Transportation, storage, and distribution managers",'11-3071,Line item,Projections for 11-3071,
      Compensation and benefits managers,'11-3111,Line item,Projections for 11-3111,
      Human resources managers,'11-3121,Line item,Projections for 11-3121,
      Training and development managers,'11-3131,Line item,Projections for 11-3131,
    Other management occupations,'11-9000,Summary,Projections for 11-9000,
"      Farmers, ranchers, and other agricultural managers",'11-9013,Line item,Projections for 11-9013,
      Construction managers,'11-9021,Line item,Projections for 11-9021,
      Education and childcare administrators,'11-9030,Summary,Projections for 11-9030,
"        Education and childcare administrators, preschool and daycare",'11-9031,Line item,Projections for 11-9031,
"        Education administrators, kindergarten through secondary",'11-9032,Line item,Projections for 11-9032,
"        Education administrators, postsecondary",'11-9033,Line item,Projections for 11-9033,
"        Education administrators, all other",'11-9039,Line item,Projections for 11-9039,
      Architectural and engineering managers,'11-9041,Line item,Projections for 11-9041,
      Food service managers,'11-9051,Line item,Projections for 11-9051,
      Entertainment and recreation managers,'11-9070,Summary,Projections for 11-9070,
        Gambling managers,'11-9071,Line item,Projections for 11-9071,
"        Entertainment and recreation managers, except gambling",'11-9072,Line item,Projections for 11-9072,
      Lodging managers,'11-9081,Line item,Projections for 11-9081,
      Medical and health services managers,'11-9111,Line item,Projections for 11-9111,
      Natural sciences managers,'11-9121,Line item,Projections for 11-9121,
      Postmasters and mail superintendents,'11-9131,Line item,Projections for 11-9131,
"      Property, real estate, and community association managers",'11-9141,Line item,Projections for 11-9141,
      Social and community service managers,'11-9151,Line item,Projections for 11-9151,
      Emergency management directors,'11-9161,Line item,Projections for 11-9161,
      Personal service managers,'11-9170,Summary,Projections for 11-9170,
        Funeral home managers,'11-9171,Line item,Projections for 11-9171,
"        Personal service managers, all other",'11-9179,Line item,Projections for 11-9179,
"      Managers, all other",'11-9199,Line item,Projections for 11-9199,
  Business and financial operations occupations,'13-0000,Summary,Projections for 13-0000,
    Business operations specialists,'13-1000,Summary,Projections for 13-1000,
"      Agents and business managers of artists, performers, and athletes",'13-1011,Line item,Projections for 13-1011,
      Buyers and purchasing agents,'13-1020,Line item,Projections for 13-1020,
"      Claims adjusters, appraisers, examiners, and investigators",'13-1030,Summary,Projections for 13-1030,
"        Claims adjusters, examiners, and investigators",'13-1031,Line item,Projections for 13-1031,
"        Insurance appraisers, auto damage",'13-1032,Line item,Projections for 13-1032,
      Compliance officers,'13-1041,Line item,Projections for 13-1041,
      Cost estimators,'13-1051,Line item,Projections for 13-1051,
      Human resources workers,'13-1070,Summary,Projections for 13-1070,
        Human resources specialists,'13-1071,Line item,Projections for 13-1071,
        Farm labor contractors,'13-1074,Line item,Projections for 13-1074,
        Labor relations specialists,'13-1075,Line item,Projections for 13-1075,
      Logisticians and project management specialists,'13-1080,Summary,Projections for 13-1080,
        Logisticians,'13-1081,Line item,Projections for 13-1081,
        Project management specialists,'13-1082,Line item,Projections for 13-1082,
      Management analysts,'13-1111,Line item,Projections for 13-1111,
"      Meeting, convention, and event planners",'13-1121,Line item,Projections for 13-1121,
      Fundraisers,'13-1131,Line item,Projections for 13-1131,
"      Compensation, benefits, and job analysis specialists",'13-1141,Line item,Projections for 13-1141,
      Training and development specialists,'13-1151,Line item,Projections for 13-1151,
      Market research analysts and marketing specialists,'13-1161,Line item,Projections for 13-1161,
"      Business operations specialists, all other",'13-1199,Line item,Projections for 13-1199,
    Financial specialists,'13-2000,Summary,Projections for 13-2000,
      Accountants and auditors,'13-2011,Line item,Projections for 13-2011,
      Property appraisers and assessors,'13-2020,Line item,Projections for 13-2020,
      Budget analysts,'13-2031,Line item,Projections for 13-2031,
      Credit analysts,'13-2041,Line item,Projections for 13-2041,
      Financial analysts and advisors,'13-2050,Summary,Projections for 13-2050,
        Financial and investment analysts,'13-2051,Line item,Projections for 13-2051,
        Personal financial advisors,'13-2052,Line item,Projections for 13-2052,
        Insurance underwriters,'13-2053,Line item,Projections for 13-2053,
        Financial risk specialists,'13-2054,Line item,Projections for 13-2054,
      Financial examiners,'13-2061,Line item,Projections for 13-2061,
      Credit counselors and loan officers,'13-2070,Summary,Projections for 13-2070,
        Credit counselors,'13-2071,Line item,Projections for 13-2071,
        Loan officers,'13-2072,Line item,Projections for 13-2072,
"      Tax examiners, collectors and preparers, and revenue agents",'13-2080,Summary,Projections for 13-2080,
"        Tax examiners and collectors, and revenue agents",'13-2081,Line item,Projections for 13-2081,
        Tax preparers,'13-2082,Line item,Projections for 13-2082,
"      Financial specialists, all other",'13-2099,Line item,Projections for 13-2099,
  Computer and mathematical occupations,'15-0000,Summary,Projections for 15-0000,
    Computer occupations,'15-1200,Summary,Projections for 15-1200,
      Computer and information analysts,'15-1210,Summary,Projections for 15-1210,
        Computer systems analysts,'15-1211,Line item,Projections for 15-1211,
        Information security analysts,'15-1212,Line item,Projections for 15-1212,
      Computer and information research scientists,'15-1221,Line item,Projections for 15-1221,
      Computer support specialists,'15-1230,Summary,Projections for 15-1230,
        Computer network support specialists,'15-1231,Line item,Projections for 15-1231,
        Computer user support specialists,'15-1232,Line item,Projections for 15-1232,
      Database and network administrators and architects,'15-1240,Summary,Projections for 15-1240,
        Computer network architects,'15-1241,Line item,Projections for 15-1241,
        Database administrators,'15-1242,Line item,Projections for 15-1242,
        Database architects,'15-1243,Line item,Projections for 15-1243,
        Network and computer systems administrators,'15-1244,Line item,Projections for 15-1244,
"      Software and web developers, programmers, and testers",'15-1250,Summary,Projections for 15-1250,
        Computer programmers,'15-1251,Line item,Projections for 15-1251,
        Software developers,'15-1252,Line item,Projections for 15-1252,
        Software quality assurance analysts and testers,'15-1253,Line item,Projections for 15-1253,
        Web developers,'15-1254,Line item,Projections for 15-1254,
        Web and digital interface designers,'15-1255,Line item,Projections for 15-1255,
"      Computer occupations, all other",'15-1299,Line item,Projections for 15-1299,
    Mathematical science occupations,'15-2000,Summary,Projections for 15-2000,
      Actuaries,'15-2011,Line item,Projections for 15-2011,
      Mathematicians,'15-2021,Line item,Projections for 15-2021,
      Operations research analysts,'15-2031,Line item,Projections for 15-2031,
      Statisticians,'15-2041,Line item,Projections for 15-2041,
      Data scientists,'15-2051,Line item,Projections for 15-2051,
"      Mathematical science occupations, all other",'15-2099,Line item,Projections for 15-2099,
  Architecture and engineering occupations,'17-0000,Summary,Projections for 17-0000,
"    Architects, surveyors, and cartographers",'17-1000,Summary,Projections for 17-1000,
