2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
"Total, all occupations",'00-0000,Summary,"169,956.1","175,167.9","5,211.8",3.1,4.7,5.9,10.6,"8,155.0","10,187.1","18,342.1","18,863.3",
  Management occupations,'11-0000,Summary,"13,607.6","14,441.0",833.4,6.1,2.8,4.7,7.6,398.9,665.6,"1,064.5","1,147.9",
    Top executives,'11-1000,Summary,"4,049.9","4,228.1",178.2,4.4,2.4,5.2,7.6,98.2,217.1,315.3,333.1,
      Chief executives,'11-1011,Line item,309.4,322.7,13.3,4.3,3.0,3.6,6.6,9.5,11.4,20.9,22.2,
      General and operations managers,'11-1021,Line item,"3,712.9","3,876.8",164.0,4.4,2.3,5.4,7.7,87.9,204.5,292.3,308.7,
      Legislators,'11-1031,Line item,27.7,28.6,0.9,3.4,2.9,4.5,7.4,0.8,1.3,2.1,2.2,
"    Advertising, marketing, promotions, public relations, and sales managers",'11-2000,Summary,"1,182.4","1,243.5",61.2,5.2,2.2,5.2,7.4,26.9,62.5,89.5,95.6,
      Advertising and promotions managers,'11-2011,Line item,27.0,26.4,-0.6,-2.2,2.4,5.5,7.9,0.6,1.5,2.1,2.1,
      Marketing and sales managers,'11-2020,Summary,"1,026.5","1,082.2",55.7,5.4,2.2,5.2,7.4,23.2,54.5,77.7,83.3,
        Marketing managers,'11-2021,Line item,407.0,433.7,26.7,6.6,2.1,5.4,7.5,8.8,22.8,31.7,34.3,
        Sales managers,'11-2022,Line item,619.5,648.5,29.0,4.7,2.3,5.0,7.3,14.4,31.7,46.1,49.0,
      Public relations and fundraising managers,'11-2030,Summary,128.9,134.9,6.1,4.7,2.3,5.0,7.3,3.1,6.6,9.6,10.2,
        Public relations managers,'11-2032,Line item,83.2,87.3,4.1,5.0,2.3,5.0,7.3,2.0,4.2,6.2,6.6,
        Fundraising managers,'11-2033,Line item,45.7,47.6,1.9,4.2,2.3,5.0,7.3,1.1,2.3,3.4,3.6,
    Operations specialties managers,'11-3000,Summary,"2,789.5","3,072.3",282.7,10.1,2.5,4.5,6.9,72.3,131.2,203.5,231.7,
      Administrative services and facilities managers,'11-3010,Summary,422.6,440.9,18.3,4.3,3.4,4.6,8.0,14.7,19.9,34.6,36.4,
        Administrative services managers,'11-3012,Line item,271.2,283.8,12.6,4.6,3.2,4.7,7.9,8.9,13.0,22.0,23.2,
        Facilities managers,'11-3013,Line item,151.4,157.1,5.7,3.8,3.7,4.4,8.2,5.8,6.8,12.6,13.2,
      Computer and information systems managers,'11-3021,Line item,667.1,768.7,101.6,15.2,1.8,4.5,6.3,13.1,32.3,45.4,55.6,
      Financial managers,'11-3031,Line item,868.6,997.4,128.8,14.8,2.5,4.1,6.6,23.4,38.3,61.7,74.6,
      Industrial production managers,'11-3051,Line item,241.9,246.5,4.6,1.9,2.4,4.4,6.8,5.8,10.8,16.7,17.1,
