2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
"Total, all occupations",'00-0000,Summary,"169,956.1","175,167.9",100.0,100.0,"5,211.8",3.1,5.8,"18,863.3","49,500",—,—,—,—,
  Management occupations,'11-0000,Summary,"13,607.6","14,441.0",8.0,8.2,833.4,6.1,14.1,"1,147.9","122,090",—,—,—,—,
    Top executives,'11-1000,Summary,"4,049.9","4,228.1",2.4,2.4,178.2,4.4,2.8,333.1,"104,990",—,—,—,—,
      Chief executives,'11-1011,Line item,309.4,322.7,0.2,0.2,13.3,4.3,25.9,22.2,"206,420",Bachelor's degree,5 years or more,None,OOH Content,
      General and operations managers,'11-1021,Line item,"3,712.9","3,876.8",2.2,2.2,164.0,4.4,0.9,308.7,"102,950",Bachelor's degree,5 years or more,None,OOH Content,
      Legislators,'11-1031,Line item,27.7,28.6,0.0,0.0,0.9,3.4,—,2.2,"44,810",Bachelor's degree,Less than 5 years,None,—,
"    Advertising, marketing, promotions, public relations, and sales managers",'11-2000,Summary,"1,182.4","1,243.5",0.7,0.7,61.2,5.2,2.2,95.6,"144,530",—,—,—,—,
      Advertising and promotions managers,'11-2011,Line item,27.0,26.4,0.0,0.0,-0.6,-2.2,20.7,2.1,"126,960",Bachelor's degree,Less than 5 years,None,OOH Content,
      Marketing and sales managers,'11-2020,Summary,"1,026.5","1,082.2",0.6,0.6,55.7,5.4,2.0,83.3,"148,870",—,—,—,—,
        Marketing managers,'11-2021,Line item,407.0,433.7,0.2,0.2,26.7,6.6,3.6,34.3,"161,030",Bachelor's degree,5 years or more,None,OOH Content,
        Sales managers,'11-2022,Line item,619.5,648.5,0.4,0.4,29.0,4.7,0.9,49.0,"138,060",Bachelor's degree,Less than 5 years,None,OOH Content,
      Public relations and fundraising managers,'11-2030,Summary,128.9,134.9,0.1,0.1,6.1,4.7,0.3,10.2,"132,870",—,—,—,—,
        Public relations managers,'11-2032,Line item,83.2,87.3,0.0,0.0,4.1,5.0,0.3,6.6,"138,520",Bachelor's degree,5 years or more,None,OOH Content,
