2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
"Total, all occupations",'00-0000,"169,956.1","175,167.9","5,211.8",3.1,5.8,"18,863.3","49,500",—,Adaptability,Detail oriented,Interpersonal,—
  Chief executives,'11-1011,309.4,322.7,13.3,4.3,25.9,22.2,"206,420",Bachelor's degree,Problem solving and decision making,Leadership,Adaptability,OOH Content
  General and operations managers,'11-1021,"3,712.9","3,876.8",164.0,4.4,0.9,308.7,"102,950",Bachelor's degree,Problem solving and decision making,Adaptability,Leadership,OOH Content
  Legislators[2],'11-1031,27.7,28.6,0.9,3.4,—,2.2,"44,810",Bachelor's degree,Problem solving and decision making,Leadership,Adaptability,—
  Advertising and promotions managers,'11-2011,27.0,26.4,-0.6,-2.2,20.7,2.1,"126,960",Bachelor's degree,Adaptability,Speaking and listening,Problem solving and decision making,OOH Content
  Marketing managers,'11-2021,407.0,433.7,26.7,6.6,3.6,34.3,"161,030",Bachelor's degree,Problem solving and decision making,Adaptability,Speaking and listening,OOH Content
  Sales managers,'11-2022,619.5,648.5,29.0,4.7,0.9,49.0,"138,060",Bachelor's degree,Adaptability,Leadership,Customer service,OOH Content
  Public relations managers[2],'11-2032,83.2,87.3,4.1,5.0,0.3,6.6,"138,520",Bachelor's degree,Speaking and listening,Adaptability,Writing and reading,OOH Content
  Fundraising managers[2],'11-2033,45.7,47.6,1.9,4.2,0.2,3.6,"123,480",Bachelor's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
  Administrative services managers,'11-3012,271.2,283.8,12.6,4.6,0.0,23.2,"108,390",Bachelor's degree,Adaptability,Writing and reading,Leadership,OOH Content
  Facilities managers,'11-3013,151.4,157.1,5.7,3.8,—,13.2,"104,690",Bachelor's degree,Adaptability,Leadership,Problem solving and decision making,OOH Content
  Computer and information systems managers,'11-3021,667.1,768.7,101.6,15.2,0.9,55.6,"171,200",Bachelor's degree,Computers and information technology,Problem solving and decision making,Adaptability,OOH Content
  Financial managers,'11-3031,868.6,997.4,128.8,14.8,2.4,74.6,"161,700",Bachelor's degree,Leadership,Adaptability,Problem solving and decision making,OOH Content
  Industrial production managers,'11-3051,241.9,246.5,4.6,1.9,2.6,17.1,"121,440",Bachelor's degree,Problem solving and decision making,Adaptability,Leadership,OOH Content
  Purchasing managers,'11-3061,83.5,86.1,2.6,3.1,0.8,6.4,"139,510",Bachelor's degree,Adaptability,Leadership,Problem solving and decision making,OOH Content
"  Transportation, storage, and distribution managers",'11-3071,216.7,229.8,13.1,6.1,1.7,18.5,"102,010",High school diploma or equivalent,Adaptability,Problem solving and decision making,Leadership,OOH Content
  Compensation and benefits managers,'11-3111,20.9,20.9,0.0,0.2,1.4,1.5,"140,360",Bachelor's degree,Adaptability,Writing and reading,Problem solving and decision making,OOH Content
  Human resources managers,'11-3121,221.9,233.0,11.1,5.0,0.6,17.9,"140,030",Bachelor's degree,Adaptability,Leadership,Problem solving and decision making,OOH Content
  Training and development managers,'11-3131,46.4,49.2,2.7,5.8,—,3.8,"127,090",Bachelor's degree,Leadership,Adaptability,Writing and reading,OOH Content
"  Farmers, ranchers, and other agricultural managers",'11-9013,836.1,825.0,-11.1,-1.3,62.6,85.5,"87,980",High school diploma or equivalent,Problem solving and decision making,Adaptability,Leadership,OOH Content
  Construction managers,'11-9021,550.3,598.4,48.1,8.7,35.8,46.8,"106,980",Bachelor's degree,Problem solving and decision making,Leadership,Adaptability,OOH Content
"  Education and childcare administrators, preschool and daycare",'11-9031,90.2,87.9,-2.3,-2.5,4.9,5.5,"56,270",Bachelor's degree,Adaptability,Leadership,Interpersonal,OOH Content
"  Education administrators, kindergarten through secondary",'11-9032,333.3,328.1,-5.1,-1.5,1.2,20.8,"104,070",Master's degree,Leadership,Problem solving and decision making,Interpersonal,OOH Content
"  Education administrators, postsecondary",'11-9033,226.6,230.5,4.0,1.7,2.2,15.1,"103,960",Master's degree,Problem solving and decision making,Adaptability,Writing and reading,OOH Content
"  Education administrators, all other[2]",'11-9039,60.2,61.7,1.5,2.5,3.5,4.1,"89,040",Bachelor's degree,Problem solving and decision making,Leadership,Adaptability,—
  Architectural and engineering managers,'11-9041,212.5,220.5,8.0,3.8,0.2,14.5,"167,740",Bachelor's degree,Adaptability,Problem solving and decision making,Leadership,OOH Content
  Food service managers,'11-9051,352.8,375.3,22.6,6.4,30.3,42.0,"65,310",High school diploma or equivalent,Customer service,Adaptability,Interpersonal,OOH Content
  Gambling managers,'11-9071,5.1,5.2,0.1,1.2,7.7,0.6,"85,580",High school diploma or equivalent,Adaptability,Problem solving and decision making,Customer service,OOH Content
"  Entertainment and recreation managers, except gambling[2]",'11-9072,43.2,46.5,3.3,7.7,8.6,5.5,"77,180",Bachelor's degree,Adaptability,Interpersonal,Speaking and listening,OOH Content
  Lodging managers,'11-9081,52.0,53.8,1.8,3.4,19.1,5.4,"68,130",High school diploma or equivalent,Adaptability,Leadership,Interpersonal,OOH Content
  Medical and health services managers,'11-9111,616.2,759.1,142.9,23.2,5.1,62.1,"117,960",Bachelor's degree,Adaptability,Leadership,Critical and analytical thinking,OOH Content
  Natural sciences managers,'11-9121,104.3,108.2,3.9,3.7,—,8.5,"161,180",Bachelor's degree,Adaptability,Writing and reading,Leadership,OOH Content
  Postmasters and mail superintendents,'11-9131,13.1,12.7,-0.5,-3.5,—,0.9,"92,730",High school diploma or equivalent,Leadership,Adaptability,Customer service,—
"  Property, real estate, and community association managers",'11-9141,466.1,483.1,17.0,3.6,34.0,39.0,"66,700",High school diploma or equivalent,Adaptability,Leadership,Customer service,OOH Content
  Social and community service managers,'11-9151,219.8,233.9,14.1,6.4,5.6,18.6,"78,240",Bachelor's degree,Adaptability,Interpersonal,Problem solving and decision making,OOH Content
  Emergency management directors,'11-9161,13.2,13.6,0.4,3.0,—,1.0,"86,130",Bachelor's degree,Adaptability,Interpersonal,Leadership,OOH Content
  Funeral home managers,'11-9171,32.1,33.4,1.3,4.1,56.1,2.6,"76,830",Associate's degree,Interpersonal,Adaptability,Customer service,OOH Content
"  Personal service managers, all other[2]",'11-9179,25.1,26.7,1.6,6.5,54.3,2.1,"61,340",High school diploma or equivalent,Interpersonal,Adaptability,Customer service,—
"  Managers, all other[2]",'11-9199,"1,333.7","1,393.5",59.8,4.5,48.6,106.7,"136,550",Bachelor's degree,Adaptability,Leadership,Problem solving and decision making,—
"  Agents and business managers of artists, performers, and athletes",'13-1011,21.4,23.2,1.9,8.7,26.1,2.2,"96,310",Bachelor's degree,Adaptability,Speaking and listening,Problem solving and decision making,—
  Buyers and purchasing agents,'13-1020,522.2,552.3,30.1,5.8,4.7,52.2,"75,650",Bachelor's degree,Adaptability,Problem solving and decision making,Detail oriented,OOH Content
"  Claims adjusters, examiners, and investigators",'13-1031,356.1,337.9,-18.2,-5.1,2.2,21.1,"76,790",High school diploma or equivalent,Adaptability,Problem solving and decision making,Writing and reading,OOH Content
"  Insurance appraisers, auto damage",'13-1032,9.2,8.4,-0.8,-8.2,2.7,0.5,"76,650",Postsecondary nondegree award,Customer service,Problem solving and decision making,Computers and information technology,OOH Content
